Date,Open,High,Low,Close,Volume,Adj Close
2016-04-15,112.110001,112.300003,109.730003,109.849998,46939000,109.18523
2016-04-14,111.620003,112.389999,111.330002,112.099998,25473900,111.421614
2016-04-13,110.800003,112.339996,110.800003,112.040001,33257300,111.36198
2016-04-12,109.339996,110.50,108.660004,110.440002,27232300,109.771664
2016-04-11,108.970001,110.610001,108.830002,109.019997,29407500,108.360251
2016-04-08,108.910004,109.769997,108.169998,108.660004,23581700,108.002437
2016-04-07,109.949997,110.419998,108.120003,108.540001,31801900,107.88316
2016-04-06,110.230003,110.980003,109.199997,110.959999,26404100,110.288514
2016-04-05,109.510002,110.730003,109.419998,109.809998,26578700,109.145471
2016-04-04,110.419998,112.190002,110.269997,111.120003,37356200,110.447549
2016-04-01,108.779999,110.00,108.199997,109.989998,25874000,109.324382
2016-03-31,109.720001,109.900002,108.879997,108.989998,25888400,108.330434
2016-03-30,108.650002,110.419998,108.599998,109.559998,45601100,108.896984
2016-03-29,104.889999,107.790001,104.879997,107.68,31190100,107.028364
2016-03-28,106.00,106.190002,105.059998,105.190002,19411400,104.553435
2016-03-24,105.470001,106.25,104.889999,105.669998,26133000,105.030526
2016-03-23,106.480003,107.07,105.900002,106.129997,25703500,105.487741
2016-03-22,105.25,107.290001,105.209999,106.720001,32444400,106.074174
2016-03-21,105.93,107.650002,105.139999,105.910004,35502700,105.269079
2016-03-18,106.339996,106.50,105.190002,105.919998,44205200,105.279013
2016-03-17,105.519997,106.470001,104.959999,105.800003,34420700,105.159744
2016-03-16,104.610001,106.309998,104.589996,105.970001,38303500,105.328713
2016-03-15,103.959999,105.18,103.849998,104.580002,40067700,103.947125
2016-03-14,101.910004,102.910004,101.779999,102.519997,25076100,101.899587
2016-03-11,102.239998,102.279999,101.50,102.260002,27408200,101.641166
2016-03-10,101.410004,102.239998,100.150002,101.169998,33513600,100.557758
2016-03-09,101.309998,101.580002,100.269997,101.120003,27201700,100.508065
2016-03-08,100.779999,101.760002,100.400002,101.029999,31561900,100.418606
2016-03-07,102.389999,102.830002,100.959999,101.870003,35828900,101.253526
2016-03-04,102.370003,103.75,101.370003,103.010002,46055100,102.386627
2016-03-03,100.580002,101.709999,100.449997,101.50,36955700,100.885763
2016-03-02,100.510002,100.889999,99.639999,100.75,33169600,100.140301
2016-03-01,97.650002,100.769997,97.419998,100.529999,50407100,99.921631
2016-02-29,96.860001,98.230003,96.650002,96.690002,35216300,96.104873
2016-02-26,97.199997,98.019997,96.580002,96.910004,28991100,96.323543
2016-02-25,96.050003,96.760002,95.25,96.760002,27582700,96.174449
2016-02-24,93.980003,96.379997,93.32,96.099998,36255700,95.51844
2016-02-23,96.400002,96.50,94.550003,94.690002,31942600,94.116976
2016-02-22,96.309998,96.900002,95.919998,96.879997,34280800,96.293718
2016-02-19,96.00,96.760002,95.800003,96.040001,35374200,95.458805
2016-02-18,98.839996,98.889999,96.089996,96.260002,39021000,95.677475
2016-02-17,96.669998,98.209999,96.150002,98.120003,44863200,97.52622
